0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:43 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:45:16 -0300] "GET /SalaArcoIris/pages/aluno/listar.html HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:45:17 -0300] "GET /SalaArcoIris/js/fixo.js HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:45:17 -0300] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 200 7811
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:45:17 -0300] "GET /SalaArcoIris/pages/fixo/head.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:45:17 -0300] "GET /SalaArcoIris/pages/fixo/header.html HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:45:17 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:45:17 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:45:17 -0300] "GET /SalaArcoIris/imgs/logo2.png HTTP/1.1" 200 107659
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:45:18 -0300] "GET /SalaArcoIris/rest/aluno/checkIdA?idAluno=32 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:45:18 -0300] "GET /SalaArcoIris/rest/responsavel/checkIdR?idResponsavel=956837 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:49:34 -0300] "GET /SalaArcoIris/pages/aluno/listar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:49:34 -0300] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:49:34 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:49:36 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4413
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:49:37 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca=undefined HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:49:39 -0300] "POST /SalaArcoIris/rest/aluno/inserirA HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:49:39 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:49:41 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:49:41 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca=undefined HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:50:43 -0300] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:50:43 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:50:44 -0300] "GET /SalaArcoIris/rest/aluno/checkIdA?idAluno=32 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:50:44 -0300] "GET /SalaArcoIris/rest/responsavel/checkIdR?idResponsavel=956837 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:13 -0300] "GET /SalaArcoIris/pages/aluno/listar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:14 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:17 -0300] "GET /SalaArcoIris/pages/aluno/listar.html HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:17 -0300] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 200 7811
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:17 -0300] "GET /SalaArcoIris/js/fixo.js HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:17 -0300] "GET /SalaArcoIris/pages/fixo/head.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:17 -0300] "GET /SalaArcoIris/pages/fixo/header.html HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:17 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:17 -0300] "GET /SalaArcoIris/imgs/logo2.png HTTP/1.1" 200 107659
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:17 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:27 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4413
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:27 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:27 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca=undefined HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:30 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:30 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:30 -0300] "GET /SalaArcoIris/rest/aluno/checkIdA?idAluno=28 HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:30 -0300] "GET /SalaArcoIris/rest/responsavel/checkIdR?idResponsavel=264555 HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:35 -0300] "GET /SalaArcoIris/pages/aluno/listar.html HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:35 -0300] "GET /SalaArcoIris/js/fixo.js HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:35 -0300] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 200 7811
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:35 -0300] "GET /SalaArcoIris/pages/fixo/head.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:35 -0300] "GET /SalaArcoIris/pages/fixo/header.html HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:35 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:35 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:35 -0300] "GET /SalaArcoIris/imgs/logo2.png HTTP/1.1" 200 107659
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:36 -0300] "GET /SalaArcoIris/rest/aluno/checkIdA?idAluno=29 HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:36 -0300] "GET /SalaArcoIris/rest/responsavel/checkIdR?idResponsavel=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:46 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:46 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:47 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4413
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:47 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:51:48 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca=undefined HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:52:39 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4422
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:52:39 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:52:42 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4422
